,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,Salary,ConvertedSalary,CurrencySymbol,CommunicationTools,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,LnConvertedSalary
43183,61287,Yes,No,Canada,No,Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer,15-17 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,2.0,3.0,6.0,10.0,5.0,1.0,11.0,4.0,9.0,8.0,7.0,78000,62807.0,CAD,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,To build my professional network,4,2,3,C#;Go;Java;JavaScript;PHP;TypeScript,C#;Java;JavaScript;PHP;TypeScript;Kotlin,SQL Server;MySQL,"Redis;SQL Server;MySQL;Amazon Redshift;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Android;iOS;Mac OS;Windows Desktop or Server,Android;Mac OS;Windows Desktop or Server;Firebase,Angular;.NET Core;Node.js;React,Angular;.NET Core;Node.js;React;Xamarin,IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,3,No,"Yes, and publicly",Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,11.047821811212685
43187,61295,Yes,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,6-8 years,0-2 years,Moderately dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,2.0,10.0,5.0,9.0,8.0,3.0,6.0,11.0,4.0,7.0,420000,6575.0,INR,"Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To build my professional network;To help me find new job opportunities,4,2,5,C;C#;Groovy;Java;JavaScript;Matlab;PHP;Scala;SQL;HTML;CSS;Bash/Shell,Groovy;Java;Scala;SQL;Bash/Shell,MySQL;Apache Hive;Google BigQuery;Neo4j,MySQL;Apache Hive;Google BigQuery,Android;AWS;Google Cloud Platform/App Engine;Linux,Google Cloud Platform/App Engine;Linux,.NET Core;Hadoop;Spark;Spring,Hadoop;Spark;TensorFlow,Eclipse;IntelliJ;Notepad++;Sublime Text;Vim,Linux-based,1,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,I don't typically exercise,Female,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,18 - 24 years old,No,8.791029857045965
43390,61578,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer,3-5 years,3-5 years,Extremely dissatisfied,Extremely dissatisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,8.0,2.0,5.0,4.0,3.0,10.0,6.0,11.0,7.0,9.0,55625,55625.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",The official documentation and/or standards for the technology,Immediately after graduating,To improve my general technical skills or programming ability;To help me find new job opportunities,3,2,4,C#;JavaScript;R;SQL;VB.NET;HTML;CSS,JavaScript;Python;SQL;TypeScript;HTML;CSS,SQL Server,"SQL Server;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",AWS;Linux;Raspberry Pi;Windows Desktop or Server,Google Home;Linux;Raspberry Pi,.NET Core;Node.js;TensorFlow,Node.js;TensorFlow,RStudio;Sublime Text;Visual Studio,Windows,2,No,Depends on what it is,The developer who wrote it,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,Less than 30 minutes,1 - 2 times per week,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,Yes,10.926388019468542
43822,62195,Yes,Yes,Slovakia,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",Front-end developer;Mobile developer,6-8 years,0-2 years,Slightly satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,1.0,9.0,8.0,5.0,11.0,10.0,3.0,4.0,7.0,2.0,6.0,1500,22032.0,EUR,Confluence;Google Hangouts/Chat;Jira;Slack;Trello,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To win prizes or cash awards;Because I find it enjoyable",4,3,4,C++;Java;JavaScript;Python;Swift;Kotlin;HTML;CSS,Java;JavaScript;Python;Swift;Kotlin;HTML;CSS,SQLite;Google Cloud Storage,SQLite;Google Cloud Storage,Android;Google Cloud Platform/App Engine;Google Home;iOS;Mac OS;Firebase,Android;Arduino;Google Cloud Platform/App Engine;Google Home;iOS;Mac OS;Firebase,Django;Node.js;React;TensorFlow,Node.js;React;Spring;TensorFlow,Android Studio;Atom;IntelliJ;Notepad++;Sublime Text;Visual Studio Code,Windows,2,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,Yes,Between 8:01 - 9:00 AM,Over 12 hours,Over 4 hours,Never,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,18 - 24 years old,No,10.000251220968437
43845,62229,Yes,No,China,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Desktop or enterprise applications developer;System administrator,21-23 years,0-2 years,Extremely dissatisfied,Moderately dissatisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,2.0,3.0,9.0,4.0,6.0,11.0,5.0,10.0,8.0,7.0,10000,18696.0,CNY,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","A book or e-book from O’Reilly, Apress, or a similar publisher",I already had a full-time job as a developer when I began the program,"To improve my knowledge of a specific programming language, framework, or other technology",4,2,4,C++;C#;Java;Bash/Shell,Python,MySQL;Oracle,MySQL;SQLite;Oracle,Android;Linux;Windows Desktop or Server,Android;AWS;Linux;Windows Desktop or Server,Spring,Spring;TensorFlow,Android Studio;Eclipse;Emacs;IPython / Jupyter;Notepad++;Visual Studio,Windows,1,No,"Yes, and publicly",The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,Less than 30 minutes,Never,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",East Asian,25 - 34 years old,No,9.836064876218694
43847,62232,Yes,Yes,Poland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer,12-14 years,9-11 years,Moderately satisfied,Moderately satisfied,Doing the same work,1.0,10.0,2.0,8.0,7.0,5.0,4.0,6.0,11.0,9.0,3.0,12000,42348.0,PLN,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello","Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;Because I find it enjoyable",4,4,5,C++;JavaScript;TypeScript;HTML;CSS;Bash/Shell,C++;JavaScript;TypeScript;HTML;CSS;Bash/Shell,MongoDB;SQL Server,"MongoDB;Redis;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Linux;Windows Desktop or Server,AWS;Azure;Linux;Serverless;Firebase,Angular;Node.js,Angular;Node.js;React,Sublime Text,Linux-based,2,No,"Yes, but only within the company",The developer who wrote it,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,10.653676473463271
44611,63315,Yes,Yes,Germany,"Yes, part-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Student,12-14 years,3-5 years,Moderately satisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,1.0,2.0,4.0,10.0,11.0,7.0,5.0,6.0,9.0,8.0,3.0,800,48950.0,EUR,"Other chat system (IRC, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers",3,1,5,C;C++;C#;Java;JavaScript;Lua;Perl;PHP;R;SQL;HTML;CSS;Bash/Shell,C;C++;Perl;Python;SQL;Bash/Shell,MySQL;PostgreSQL;Oracle;MariaDB,PostgreSQL,Linux,Linux,TensorFlow,TensorFlow,Notepad++;Vim,Linux-based,2,No,Depends on what it is,The developer who wrote it,Yes,Between 8:01 - 9:00 AM,9 - 12 hours,30 - 59 minutes,Daily or almost every day,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,18 - 24 years old,No,10.798554647958657
44797,63585,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,21-23 years,18-20 years,Moderately satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,3.0,7.0,1.0,5.0,9.0,2.0,10.0,8.0,4.0,11.0,6.0,112000,112000.0,USD,Confluence;Jira;Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,4,3,3,C;C++;Groovy;Java;JavaScript;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,C;C++;Java;JavaScript;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,PostgreSQL;Amazon RDS/Aurora,PostgreSQL;Amazon RDS/Aurora,Android;Arduino;AWS;Mac OS;Firebase,Android;Arduino;AWS;Mac OS;Firebase,Spring,Spring,Android Studio;Atom;Eclipse;IntelliJ;Vim,MacOS,4,No,Depends on what it is,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,Less than 30 minutes,Never,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,45 - 54 years old,Yes,11.626254150277232
44987,63841,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,0-2 years,Slightly satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,3.0,2.0,11.0,6.0,7.0,8.0,4.0,10.0,9.0,5.0,97000,97000.0,USD,Confluence;Facebook;Jira;Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",One to three months,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To help me find new job opportunities;Because I find it enjoyable",4,3,3,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,C++;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;SQLite;Amazon Redshift;Amazon RDS/Aurora,PostgreSQL;Amazon Redshift;Amazon RDS/Aurora,iOS;Raspberry Pi;Firebase,iOS;Raspberry Pi,Angular;Node.js;React,Node.js;React,IntelliJ;PyCharm;Sublime Text,MacOS,3,No,Depends on what it is,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,Less than 30 minutes,Daily or almost every day,Daily or almost every day,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,35 - 44 years old,No,11.48246625748552
44989,63843,Yes,No,Germany,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Data or business analyst;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer;Mobile developer;System administrator,9-11 years,9-11 years,Moderately satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,5.0,11.0,10.0,7.0,6.0,4.0,3.0,9.0,8.0,2.0,80000,1000000.0,EUR,Confluence;Jira,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Immediately after graduating,To improve my general technical skills or programming ability;To build my professional network;Because I find it enjoyable,4,1,3,C#;Groovy;Java;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,Groovy;Java;JavaScript;Python;SQL;TypeScript;Kotlin;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite;Oracle;IBM Db2;Elasticsearch,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;IBM Db2;Apache HBase;Apache Hive;Google BigQuery;Google Cloud Storage;Neo4j;Elasticsearch,Android;AWS;Raspberry Pi;Windows Desktop or Server,Android;AWS;Google Cloud Platform/App Engine;Google Home;Raspberry Pi;Windows Desktop or Server,Angular;Spring,Angular;Spring,Android Studio;Eclipse;IntelliJ;Notepad++;Vim,Windows,2,No,"Yes, and publicly",Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,Daily or almost every day,Male,Gay or Lesbian;Bisexual or Queer,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,25 - 34 years old,No,13.815510557964274
45086,63972,Yes,Yes,India,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Designer;Front-end developer;Full-stack developer,0-2 years,0-2 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,11.0,9.0,1.0,3.0,2.0,5.0,10.0,7.0,4.0,6.0,8.0,50000,9396.0,INR,Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;To build my professional network;To win prizes or cash awards;Because I find it enjoyable,4,4,4,JavaScript;Python;Ruby,JavaScript;Python;Ruby;Swift,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,AWS;Heroku;Linux,AWS;Heroku;Linux;Firebase,Angular;Node.js;Cordova,Angular;Hadoop;Node.js;React;Cordova,Atom;IPython / Jupyter;Sublime Text;Visual Studio Code,Linux-based,1,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,No,Between 8:01 - 9:00 AM,Over 12 hours,1 - 2 hours,3 - 4 times per week,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",East Asian,25 - 34 years old,No,9.148039345778804
45145,64055,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Back-end developer;Front-end developer;Full-stack developer;QA or test developer,0-2 years,0-2 years,Moderately satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,5.0,3.0,9.0,4.0,2.0,8.0,6.0,11.0,10.0,7.0,71500,71500.0,USD,Confluence;Jira;Slack;Trello,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",4,1,5,Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Haskell;Java;JavaScript;Python;SQL;TypeScript;Kotlin;HTML;Bash/Shell,MongoDB;Redis;PostgreSQL;Amazon DynamoDB;Google BigQuery,MongoDB;Redis;PostgreSQL;Amazon DynamoDB;Google BigQuery,AWS,AWS;Azure;Google Cloud Platform/App Engine;Linux;Mac OS;Raspberry Pi;Serverless,Angular;Node.js;React,Angular,Atom;NetBeans;Visual Studio Code,MacOS,2,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,Before 5:00 AM,5 - 8 hours,1 - 2 hours,Never,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Hispanic or Latino/Latina;White or of European descent,25 - 34 years old,No,11.177452728682098
45150,64060,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",Back-end developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,Slightly dissatisfied,Moderately satisfied,Working as a founder or co-founder of my own company,1.0,4.0,2.0,10.0,8.0,6.0,5.0,9.0,11.0,7.0,3.0,125000,125000.0,USD,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",One to three months,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities",4,3,4,JavaScript;PHP;Python;Ruby;Scala;SQL;TypeScript;VBA;HTML;CSS;Bash/Shell,JavaScript;Rust;TypeScript;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Android;AWS;Heroku;iOS;WordPress;Firebase,AWS;Heroku,Angular;Node.js;React,Node.js;React,Sublime Text;Vim,MacOS,2,No,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 9:01 - 10:00 AM,5 - 8 hours,30 - 59 minutes,1 - 2 times per week,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,11.736069016284437
45199,64129,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",Front-end developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,1.0,11.0,4.0,3.0,10.0,9.0,2.0,8.0,5.0,6.0,7.0,90000,90000.0,USD,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,5,2,2,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,C++;C#;Go;JavaScript;SQL;HTML;CSS,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,Android;iOS;Linux;Mac OS;Raspberry Pi;Firebase,Amazon Echo;Android;AWS;Gaming console;IBM Cloud or Watson;iOS;Linux;Mac OS;Raspberry Pi;Serverless,Angular;Node.js;React,Node.js;React,Visual Studio;Visual Studio Code,MacOS,2,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,1 - 2 times per week,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,25 - 34 years old,No,11.407564949312402
45279,64228,No,No,Poland,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,12-14 years,9-11 years,Moderately satisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,2.0,3.0,4.0,11.0,6.0,9.0,5.0,7.0,8.0,10.0,14000,49404.0,PLN,Confluence;Google Hangouts/Chat;HipChat;Jira;Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,4,4,4,Go;Groovy;Java;JavaScript;Python;Scala;Kotlin;HTML;Bash/Shell,Go;Java;Python;Kotlin,PostgreSQL;Memcached,PostgreSQL;Amazon DynamoDB;Memcached;Elasticsearch,Windows Desktop or Server,AWS,Django;Spring,Angular;Spark,Eclipse;IntelliJ;PyCharm,Windows,1,Depends on what it is,Depends on what it is,The developer who wrote it,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,Less than 30 minutes,Never,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,Yes,10.807786671557905
45548,64600,Yes,Yes,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer;QA or test developer,0-2 years,0-2 years,Extremely dissatisfied,Moderately dissatisfied,Working in a different or more specialized technical role than the one I'm in now,4.0,2.0,5.0,11.0,7.0,9.0,8.0,1.0,10.0,6.0,3.0,1200000,18785.0,INR,"Confluence;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;The technology’s online help system,Immediately after graduating,Because I find it enjoyable,5,1,5,C;C++;Java;JavaScript;Python;Rust;HTML;CSS;Bash/Shell,C;C++;Go;Java;Python;Rust;Scala;Bash/Shell,Oracle;Elasticsearch,Elasticsearch,Amazon Echo;Android;Google Cloud Platform/App Engine;Linux;Mac OS;Raspberry Pi,Amazon Echo;Android;ESP8266;Google Cloud Platform/App Engine;Google Home;IBM Cloud or Watson;Linux;Mac OS;Raspberry Pi;Serverless,Node.js;React,Hadoop;Spark,Android Studio;Atom;Eclipse;IntelliJ;Visual Studio Code,MacOS,2,No,No,Upper management at the company/organization,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,18 - 24 years old,No,9.84081395800807
